,A,B,C,Y,option_a,option_b,option_c,option_d
0,tensor(0.9175),tensor(3.2963),tensor(1.1821),tensor(-1.7963),tensor(-2.4143),tensor(-1.1422),tensor(-3.4976),tensor(0.5678)
1,tensor(4.3162),tensor(2.1007),tensor(-2.2809),tensor(-0.2434),tensor(0.9407),tensor(-2.7794),tensor(1.8866),tensor(-1.3470)
2,tensor(4.4794),tensor(3.4006),tensor(-3.0758),tensor(-0.3796),tensor(-2.2865),tensor(0.0188),tensor(-0.7993),tensor(-1.4148)
3,tensor(4.8665),tensor(1.5433),tensor(-1.1561),tensor(-0.1586),tensor(-0.9230),tensor(0.0505),tensor(-0.3730),tensor(0.6194)
4,tensor(2.6072),tensor(-4.0375),tensor(2.6858),tensor(0.7743),tensor(2.3567),tensor(1.7105),tensor(1.5503),tensor(2.3426)
5,tensor(4.7684),tensor(-1.8241),tensor(-4.0571),tensor(0.1913),tensor(0.6012),tensor(-0.2412),tensor(0.1016),tensor(2.0843)
6,tensor(4.6626),tensor(-4.7464),tensor(0.4242),tensor(0.5090),tensor(-1.0499),tensor(0.8031),tensor(-1.3144),tensor(1.9316)
7,tensor(3.7818),tensor(-3.3212),tensor(0.8236),tensor(0.4391),tensor(1.1641),tensor(1.7556),tensor(-0.3792),tensor(0.6324)
8,tensor(3.5742),tensor(4.5712),tensor(-0.3306),tensor(-0.6395),tensor(-2.8847),tensor(-0.8874),tensor(-1.7962),tensor(-1.8591)
9,tensor(2.0589),tensor(0.0502),tensor(-1.6976),tensor(-0.0122),tensor(0.8107),tensor(-1.7312),tensor(0.2840),tensor(0.5825)
10,tensor(0.1046),tensor(-2.8431),tensor(-4.3931),tensor(13.5910),tensor(14.9383),tensor(13.9260),tensor(12.8504),tensor(13.1024)
11,tensor(2.3014),tensor(4.5869),tensor(-0.1838),tensor(-0.9965),tensor(-2.3161),tensor(-2.3996),tensor(0.2349),tensor(-0.2358)
12,tensor(1.6428),tensor(-4.7008),tensor(-2.2845),tensor(1.4307),tensor(1.1091),tensor(1.0649),tensor(2.6647),tensor(1.6136)
13,tensor(4.2010),tensor(-2.6283),tensor(4.6167),tensor(0.3128),tensor(0.3625),tensor(-0.5176),tensor(0.5240),tensor(-0.0508)
14,tensor(1.8559),tensor(4.4065),tensor(-3.7869),tensor(-1.1872),tensor(-2.7869),tensor(-0.8484),tensor(-0.9843),tensor(0.4002)
15,tensor(1.3511),tensor(-2.3169),tensor(-2.4902),tensor(0.8574),tensor(-0.6240),tensor(2.6633),tensor(1.1666),tensor(0.9696)
