,A,B,C,Y,correct_answer,option_a,option_b,option_c,option_d
0,0.9,3.3,1.2,-1.8333333333333333,c,-0.34449970722198486,-1.9126777648925781,-1.8333333333333333,-1.0207672119140625
1,4.3,2.1,-2.3,-0.24418604651162792,d,-0.9962246417999268,-0.3893086612224579,0.5920456647872925,-0.24418604651162792
2,4.5,3.4,-3.1,-0.37777777777777777,c,0.3616495132446289,-0.7992160320281982,-0.37777777777777777,-0.47948700189590454
3,4.9,1.5,-1.2,-0.1530612244897959,b,1.2121944427490234,-0.1530612244897959,-0.14139308035373688,0.28443729877471924
4,2.6,-4.0,2.7,0.7692307692307692,a,0.7692307692307692,1.0075372457504272,1.5558459758758545,0.5351747274398804
5,4.8,-1.8,-4.1,0.1875,b,-0.21720443665981293,0.1875,-0.2967652678489685,0.39593076705932617
6,4.7,-4.7,0.4,0.5,d,0.6242873668670654,-0.8166866898536682,-0.5935844779014587,0.5
7,3.8,-3.3,0.8,0.4342105263157895,d,0.03657817840576172,0.33566632866859436,0.8012725114822388,0.4342105263157895
8,3.6,4.6,-0.3,-0.6388888888888888,b,-0.7005085945129395,-0.6388888888888888,-0.9951713681221008,-0.45598360896110535
9,2.1,0.1,-1.7,-0.023809523809523808,c,0.7150563597679138,1.0744507312774658,-0.023809523809523808,-0.2091301828622818
10,0.1,-2.8,-4.4,13.999999999999998,a,13.999999999999998,14.278793334960938,13.592913627624512,14.526468276977539
11,2.3,4.6,-0.2,-1.0,b,-1.2399296760559082,-1.0,-0.7780689597129822,-0.2793648838996887
12,1.6,-4.7,-2.3,1.46875,d,1.8976678848266602,2.7726149559020996,2.4324896335601807,1.46875
13,4.2,-2.6,4.6,0.30952380952380953,c,0.7788864374160767,-0.025556743144989014,0.30952380952380953,0.6090189218521118
14,1.9,4.4,-3.8,-1.1578947368421053,d,-1.9921236038208008,-1.0334138870239258,-1.794288158416748,-1.1578947368421053
15,1.4,-2.3,-2.5,0.8214285714285714,c,1.223691463470459,0.49569448828697205,0.8214285714285714,1.7151912450790405
